I 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
II 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
III 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IV 4 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
V 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VI 6 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VII 7 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VIII 8 5 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
IX 9 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
X 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XI 11 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XII 12 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XIII 13 10 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XIV 14 10 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XV 15 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XVI 16 10 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XVII 17 10 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XVIII 18 10 5 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XIX 19 10 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XX 20 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XXI 21 10 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XXII 22 10 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XXIII 23 10 10 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XXIV 24 10 10 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0
XXV 25 10 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XXVI 26 10 10 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XXVII 27 10 10 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XXVIII 28 10 10 5 1 1 1 0 0 0 0 0 0 0 0 0 0 0
XXIX 29 10 10 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0
XXX 30 10 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XXXI 31 10 10 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XXXII 32 10 10 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XXXIII 33 10 10 10 1 1 1 0 0 0 0 0 0 0 0 0 0 0
XXXIV 34 10 10 10 1 5 0 0 0 0 0 0 0 0 0 0 0 0
XXXV 35 10 10 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0
XXXVI 36 10 10 10 5 1 0 0 0 0 0 0 0 0 0 0 0 0
XXXVII 37 10 10 10 5 1 1 0 0 0 0 0 0 0 0 0 0 0
XXXVIII 38 10 10 10 5 1 1 1 0 0 0 0 0 0 0 0 0 0
XXXIX 39 10 10 10 1 10 0 0 0 0 0 0 0 0 0 0 0 0
XL 40 10 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XLI 41 10 50 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XLII 42 10 50 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XLIII 43 10 50 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XLIV 44 10 50 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0
XLV 45 10 50 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
XLVI 46 10 50 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0
XLVII 47 10 50 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0
XLVIII 48 10 50 5 1 1 1 0 0 0 0 0 0 0 0 0 0 0
XLIX 49 10 50 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0
